광역시도,기초지자체,배출연도,배출월,배출일,배출량(g),배출횟수
경기도,남양주시,2024,1,31,37658200,22846
경기도,동두천시,2024,1,1,7481250,4098
경기도,동두천시,2024,1,2,6938150,3910
경기도,동두천시,2024,1,3,6062100,3624
경기도,동두천시,2024,1,4,5815800,3514
경기도,동두천시,2024,1,5,5789150,3616
경기도,동두천시,2024,1,6,6001350,3519
경기도,동두천시,2024,1,7,6820250,3820
경기도,동두천시,2024,1,8,6254500,3717
경기도,동두천시,2024,1,9,5302850,3093
경기도,동두천시,2024,1,10,6018100,3684
경기도,동두천시,2024,1,11,5731750,3475
경기도,동두천시,2024,1,12,6174800,3635
경기도,동두천시,2024,1,13,6017950,3621
경기도,동두천시,2024,1,14,6108700,3345
경기도,동두천시,2024,1,15,6073500,3635
경기도,동두천시,2024,1,16,5883250,3474
경기도,동두천시,2024,1,17,5018950,3149
경기도,동두천시,2024,1,18,6222150,3767
경기도,동두천시,2024,1,19,5782350,3617
경기도,동두천시,2024,1,20,5941550,3468
경기도,동두천시,2024,1,21,7362550,4122
경기도,동두천시,2024,1,22,5624950,3397
경기도,동두천시,2024,1,23,4849550,2979
경기도,동두천시,2024,1,24,5306000,3309
경기도,동두천시,2024,1,25,5476550,3330
경기도,동두천시,2024,1,26,5719800,3503
경기도,동두천시,2024,1,27,6055550,3462
경기도,동두천시,2024,1,28,6757200,3739
경기도,동두천시,2024,1,29,6256050,3693
경기도,동두천시,2024,1,30,5698500,3465
경기도,동두천시,2024,1,31,5710550,3603
경기도,부천시,2024,1,1,40687700,23565
경기도,부천시,2024,1,2,34115450,20529
경기도,부천시,2024,1,3,32122350,19723
경기도,부천시,2024,1,4,31295000,19742
경기도,부천시,2024,1,5,29916600,18961
경기도,부천시,2024,1,6,30212850,18418
경기도,부천시,2024,1,7,39621550,23084
경기도,부천시,2024,1,8,34347450,20673
경기도,부천시,2024,1,9,29638865,18229
경기도,부천시,2024,1,10,32637800,20425
경기도,부천시,2024,1,11,30649000,19472
경기도,부천시,2024,1,12,29926550,19007
경기도,부천시,2024,1,13,31467200,19396
경기도,부천시,2024,1,14,38914350,22979
경기도,부천시,2024,1,15,33960200,20819
경기도,부천시,2024,1,16,30458050,19305
경기도,부천시,2024,1,17,26999600,17168
경기도,부천시,2024,1,18,32923000,20764
경기도,부천시,2024,1,19,29810150,19173
경기도,부천시,2024,1,20,29784000,18213
경기도,부천시,2024,1,21,40044200,23789
경기도,부천시,2024,1,22,31060200,19079
경기도,부천시,2024,1,23,25847950,16604
경기도,부천시,2024,1,24,29759850,18659
경기도,부천시,2024,1,25,28640850,18165
경기도,부천시,2024,1,26,29010000,18608
경기도,부천시,2024,1,27,30981505,18777
경기도,부천시,2024,1,28,38877100,23010
경기도,부천시,2024,1,29,31827800,19645
경기도,부천시,2024,1,30,29998500,18962
경기도,부천시,2024,1,31,30312500,19288
경기도,성남시분당구,2024,1,1,5314900,3327
경기도,성남시분당구,2024,1,2,5136650,3183
경기도,성남시분당구,2024,1,3,4544450,2875
경기도,성남시분당구,2024,1,4,4727200,3074
경기도,성남시분당구,2024,1,5,4592550,2928
경기도,성남시분당구,2024,1,6,4890350,2998
경기도,성남시분당구,2024,1,7,5430350,3378
경기도,성남시분당구,2024,1,8,4930350,3069
경기도,성남시분당구,2024,1,9,3946750,2593
